name,symbol,website,github,careers,circulating_supply,ID,last_updated,max_supply,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,rank,total_supply,website_slug
Ripple,XRP,https://ripple.com/,https://github.com/ripple,https://ripple.com/company/careers/,39189968239.0,52.0,1527573542.0,100000000000.0,21824070323.0,-0.42,-5.76,-17.54,0.556879,327676000.0,3.0,99992233977.0,ripple
Stellar,XLM,https://www.stellar.org,https://github.com/stellar,https://jobs.lever.co/stellar,18578506587.0,512.0,1527573545.0,,4682805478.0,-0.22,-6.22,-20.06,0.25205500000000003,45636500.0,7.0,103986155722.0,stellar
Dash,DASH,https://www.dash.org/,https://github.com/dashpay/dash,https://hire.withgoogle.com/public/jobs/dashorg,8097083.0,131.0,1527573542.0,18900000.0,2330980076.0,-0.57,-7.1,-24.1,287.879,83577200.0,14.0,8097083.0,dash
NEM,XEM,http://nem.io,https://github.com/NemProject,https://nem.io/jobs/,8999999999.0,873.0,1527573547.0,,2066067000.0,-0.27,-8.3,-25.05,0.229563,15280700.0,15.0,8999999999.0,nem
Zcash,ZEC,https://z.cash/,https://github.com/zcash/zcash,https://z.cash//jobs,4019356.0,1437.0,1527573554.0,,897928206.0,-4.19,-12.38,-31.78,223.401,75099500.0,22.0,4019356.0,zcash
Lisk,LSK,https://lisk.io/,https://github.com/LiskHQ/,https://lisk.io/careers,106387292.0,1214.0,1527573551.0,,864770170.0,-0.46,-5.76,-23.58,8.12851,12478500.0,23.0,121636908.0,lisk
Zilliqa,ZIL,https://www.zilliqa.com/,https://github.com/Zilliqa/Zilliqa,https://www.zilliqa.com//careers.html,7329266952.0,2469.0,1527573274.0,,727201805.0,-2.06,-11.11,-30.95,0.0992189,39506300.0,25.0,12600000000.0,zilliqa
Steem,STEEM,https://steem.io/,https://github.com/steemit/steem,https://jobs.lever.co/steemit,257746905.0,1230.0,1527573551.0,,545962071.0,-1.04,-11.31,-31.26,2.11821,8708380.0,32.0,274720999.0,steem
Maker,MKR,https://makerdao.com/,https://github.com/makerdao,https://makerdao.com//careers,618228.0,1518.0,1527573555.0,,441626680.0,-0.26,-4.0,-20.47,714.3430000000002,154368.0,38.0,1000000.0,maker
Golem,GNT,https://golem.network/,https://github.com/golemfactory/golem,https://golem.network//careers,839242000.0,1455.0,1527573553.0,,396775154.0,-1.28,0.52,-8.6,0.472778,20416200.0,44.0,1000000000.0,golem-network-tokens
